253	093	001
254	093	001
304	093	001
305	093	001
311	093	001
252	094	001
303	094	001
312	094	001
251	095	001
295	095	001
296	095	001
302	095	001
313	095	001
250	096	001
294	096	001
314	096	001
249	097	001
293	097	001
315	097	001
246	098	001
247	098	001
248	098	001
292	098	001
316	098	001
317	098	001
245	099	001
291	099	001
244	100	001
287	100	001
288	100	001
290	100	001
243	101	001
286	101	001
317	101	001
242	102	001
285	102	001
318	102	001
241	103	001
284	103	001
319	103	001
240	104	001
283	104	001
320	104	001
239	105	001
282	105	001
321	105	001
238	106	001
281	106	001
322	106	001
237	107	001
280	107	001
323	107	001
236	108	001
324	108	001
235	109	001
278	109	001
279	109	001
325	109	001
234	110	001
277	110	001
326	110	001
233	111	001
276	111	001
327	111	001
275	112	001
328	112	001
231	113	001
232	113	001
274	113	001
329	113	001
230	114	001
273	114	001
330	114	001
229	115	001
272	115	001
331	115	001
228	116	001
271	116	001
332	116	001
227	117	001
270	117	001
333	117	001
226	118	001
334	118	001
225	119	001
335	119	001
224	120	001
336	120	001
337	120	001
223	121	001
269	125	001
222	135	001
337	137	001
268	138	001
269	138	001
338	138	001
339	138	001
270	139	001
271	140	001
272	141	001
273	142	001
274	143	001
275	144	001
276	145	001
277	146	001
278	147	001
339	149	001
338	150	001
337	151	001
336	152	001
335	153	001
333	154	001
334	154	001
221	156	001
222	156	001
278	156	001
279	156	001
333	156	001
223	157	001
280	157	001
332	157	001
224	158	001
281	158	001
331	158	001
225	159	001
282	159	001
330	159	001
226	160	001
283	160	001
329	160	001
227	161	001
284	161	001
328	161	001
285	162	001
327	162	001
286	163	001
326	163	001
287	164	001
325	164	001
288	165	001
324	165	001
289	166	001
323	166	001
290	167	001
322	167	001
291	168	001
321	168	001
292	169	001
320	169	001
293	170	001
319	170	001
294	171	001
314	171	001
317	171	001
318	171	001
227	172	001
228	172	001
295	172	001
313	172	001
229	173	001
296	173	001
312	173	001
230	174	001
297	174	001
311	174	001
231	175	001
298	175	001
310	175	001
232	176	001
299	176	001
309	176	001
233	177	001
300	177	001
308	177	001
234	178	001
301	178	001
303	178	001
304	178	001
307	178	001
235	179	001
296	179	001
305	179	001
306	179	001
236	180	001
295	180	001
306	180	001
237	181	001
294	181	001
307	181	001
238	182	001
293	182	001
308	182	001
239	183	001
292	183	001
309	183	001
240	184	001
291	184	001
310	184	001
241	185	001
290	185	001
311	185	001
242	186	001
270	186	001
288	186	001
289	186	001
312	186	001
243	187	001
245	187	001
246	187	001
269	187	001
313	187	001
247	188	001
268	188	001
314	188	001
248	189	001
266	189	001
267	189	001
315	189	001
316	190	001
361	190	001
362	190	001
317	191	001
359	191	001
360	191	001
318	192	001
328	192	001
329	192	001
330	193	001
345	193	001
346	193	001
358	193	001
359	193	001
347	194	001
356	194	001
357	194	001
